collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
14392		Deinonychus			1212	"United States"	Oklahoma	Atoka	34.4	-96.1	Cretaceous		125.000	99.600
14402		Eolambia			1223	"United States"	Utah	Emery	39.0	-111	Cretaceous	"Cretaceous 5"	97.1	96.2
14434		Saurornitholestes			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14434		Dromaeosaurus			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14434		Richardoestesia			1098	"United States"	Montana	"Golden Valley"	46.1	-109.1	Cretaceous	"Cretaceous 7"	80.9	76.2
14437		Chirostenotes			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Corythosaurus			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Stegoceras			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Centrosaurus			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Saurornitholestes			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Richardoestesia			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Chirostenotes			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Parasaurolophus			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Euoplocephalus			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Dromaeosaurus			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437		Troodon			25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14437	"n. gen."	Avaceratops		Ceratopsidae	25474	"United States"	Montana	Wheatland	46.2	-109.9	Cretaceous	"Cretaceous 7"	80.9	80.7
14446	?	Stegoceras	?	Stegoceras	3008	"United States"	Montana	Chouteau	47.8082	-109.5897	Cretaceous	"Cretaceous 7"	76.0	75.7
14446		Edmontonia			3008	"United States"	Montana	Chouteau	47.8082	-109.5897	Cretaceous	"Cretaceous 7"	76.0	75.7
14446		Troodon			3008	"United States"	Montana	Chouteau	47.8082	-109.5897	Cretaceous	"Cretaceous 7"	76.0	75.7
14446		Orodromeus		Thescelosaurus	3008	"United States"	Montana	Chouteau	47.8082	-109.5897	Cretaceous	"Cretaceous 7"	76.0	75.7
14453		Troodon			2601	"United States"	Montana	Teton	47.8	-112.2	Cretaceous	"Cretaceous 7"	76.0	75.7
